Song,Album,Album Release Date,Artist Names,Artist(s) Genres,Hot100 Ranking Year,Hot100 Rank,Song Length(ms),Spotify Link,Song Image,Spotify URI,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Key,Mode,Time Signature
To Each His Own,Presenting Freddy Martin & His Orchestra,1932-05-06,['Freddy Martin & His Orchestra'],"['big band', ""man's orchestra""]",1946,14,191293,https://open.spotify.com/track/5QEyScOgUFntL9U8k0HLzb,https://i.scdn.co/image/ab67616d00001e02a4517a28cefc1e89cbc86928,spotify:track:5QEyScOgUFntL9U8k0HLzb,8,0.986,0.218,0.293,0.0354,0.373,-8.174,0.032,92.151,0.267,9,0,3
Ole Buttermilk Sky,The Best Of Kay Kyser and His Orchestra,2000-05-09,['Kay Kyser & His Orchestra'],"[""man's orchestra""]",1946,15,177506,https://open.spotify.com/track/1M2NFzR0gAeDt8yIHuqlaQ,https://i.scdn.co/image/ab67616d00001e02fa9fab792e87b717952b001a,spotify:track:1M2NFzR0gAeDt8yIHuqlaQ,20,0.975,0.572,0.184,7.29e-05,0.159,-14.434,0.0438,168.596,0.829,0,1,4
To Each His Own,The Anthology,1998-06-16,['The Ink Spots'],"['vocal harmony group', 'lounge']",1946,16,190000,https://open.spotify.com/track/1xaWXoK9hKH3Op9VDCgqZT,https://i.scdn.co/image/ab67616d00001e02383811a9b3081023c612fb7b,spotify:track:1xaWXoK9hKH3Op9VDCgqZT,29,0.975,0.489,0.0729,4.61e-05,0.104,-16.442,0.0826,70.464,0.202,3,1,4
Symphony,Presenting Freddy Martin,1948-05-06,['Freddy Martin'],[],1946,17,197880,https://open.spotify.com/track/0CfT2uI4ArHMjmzzlWDqwj,https://i.scdn.co/image/ab67616d00001e0291398be3f9d70153592918d7,spotify:track:0CfT2uI4ArHMjmzzlWDqwj,8,0.943,0.181,0.225,0.307,0.149,-11.163,0.0347,179.347,0.173,7,1,3
The Old Lamplighter,1944,1986,['Sammy Kaye and His Orchestra'],"[""man's orchestra""]",1946,18,207466,https://open.spotify.com/track/3gAUzbcHBs9f4oGg82YHXv,https://i.scdn.co/image/ab67616d00001e02c51489c694f3e41a145630f6,spotify:track:3gAUzbcHBs9f4oGg82YHXv,23,0.985,0.288,0.108,0.000115,0.157,-17.36,0.0351,77.472,0.227,2,1,3
I Can't Begin To Tell You - Single Version,Bing-His Legendary Years 1931-1957,1993-01-01,"['Bing Crosby', 'Carmen Cavallaro']","['adult standards', 'lounge', 'easy listening']",1946,19,174600,https://open.spotify.com/track/22b0w2VmAj51WGEL5H8PQp,https://i.scdn.co/image/ab67616d00001e02f2d081693e25cc52d620802f,spotify:track:22b0w2VmAj51WGEL5H8PQp,22,0.966,0.567,0.125,0.189,0.114,-21.128,0.0404,97.721,0.323,7,1,4
You're A Big Girl Now,The Stylistics - The Original Debut Album,1973-01-01,['The Stylistics'],"['classic soul', 'motown', 'quiet storm', 'disco', 'philly soul', 'soul', 'funk']",1946,19,198000,https://open.spotify.com/track/5C7WGqaFxmYsWi0OpV6blr,https://i.scdn.co/image/ab67616d00001e028e9d7cbb79d2ee41f3641462,spotify:track:5C7WGqaFxmYsWi0OpV6blr,45,0.435,0.431,0.479,0.0,0.277,-9.759,0.0371,71.576,0.746,6,1,4
"Jocelyn, Op. 100: Berceuse (Arr. For vocal, violin and orchestra)","Jascha Heifetz Miniatures, Vol. 1 (1944-1946)",2011-10-04,"['Benjamin Godard', 'Bing Crosby', 'Jascha Heifetz', 'Victor Young']","['classic soundtrack', 'adult standards', 'easy listening', 'late romantic era', 'french romanticism', 'violin', 'lounge']",1946,20,187160,https://open.spotify.com/track/6z9h9WJTjcn4i3co2GPbf7,https://i.scdn.co/image/ab67616d00001e02948d6a4c7918669e960054f8,spotify:track:6z9h9WJTjcn4i3co2GPbf7,0,0.859,0.168,0.232,0.356,0.105,-12.146,0.0461,170.315,0.128,6,1,5
The Gypsy,Urban Knights III,2000-01-01,['Urban Knights'],['smooth jazz'],1946,21,236840,https://open.spotify.com/track/3NVCNIbDqfXJwu8Zz0cvVo,https://i.scdn.co/image/ab67616d00001e027e4e29b588ac8368858ae62a,spotify:track:3NVCNIbDqfXJwu8Zz0cvVo,45,0.241,0.759,0.605,0.822,0.314,-9.816,0.0353,99.576,0.835,7,1,4
Doin' What Comes Natur'lly,"16 Most Requested Songs Of The 1940s, Volume One",1989-06-13,['Dinah Shore'],"['adult standards', 'torch song', 'easy listening', 'vocal jazz']",1946,21,190906,https://open.spotify.com/track/16ICxWXaJaahCcNcWnsgGv,https://i.scdn.co/image/ab67616d00001e02207235766c4f06b08449e5f6,spotify:track:16ICxWXaJaahCcNcWnsgGv,15,0.961,0.876,0.141,0.0,0.11,-18.383,0.172,94.252,0.889,7,1,4
Laughing on the Outside (Crying on the Inside),16 Most Requested Songs: Encore!,1995-05-16,['Dinah Shore'],"['adult standards', 'torch song', 'easy listening', 'vocal jazz']",1946,22,186960,https://open.spotify.com/track/2RG22MnkRzrPNAyc0eFn8w,https://i.scdn.co/image/ab67616d00001e02642daf2a1868773492e7c67f,spotify:track:2RG22MnkRzrPNAyc0eFn8w,31,0.92,0.414,0.148,1.36e-06,0.202,-13.059,0.0387,65.673,0.289,7,0,4
Five More Minutes,Seasons Change,2018-01-12,['Scotty McCreery'],"['contemporary country', 'modern country rock', 'country', 'country road']",1946,23,241146,https://open.spotify.com/track/3qTmB5HxP9ilJaiM6B1yuk,https://i.scdn.co/image/ab67616d00001e02bc4ab4b3286e4278af03624e,spotify:track:3qTmB5HxP9ilJaiM6B1yuk,72,0.259,0.494,0.634,1.15e-06,0.109,-4.933,0.0282,156.03,0.28,7,1,4
Laughing On The Outside (Crying On The Inside) - Remastered,Great Gentlemen Of Song / Spotlight On Andy Russell (Remaster),1995-01-01,['Andy Russell'],[],1946,24,180200,https://open.spotify.com/track/7qvklHIQLAAkbKz0gFlzL3,https://i.scdn.co/image/ab67616d00001e026641e96fcde1e88bb39d5219,spotify:track:7qvklHIQLAAkbKz0gFlzL3,9,0.961,0.284,0.209,0.000195,0.439,-13.027,0.034,135.745,0.311,0,0,4
Chattanooga Choo Choo,Ultimate Big Band Collection: Glenn Miller,1939,['Glenn Miller'],"['big band', 'adult standards', 'easy listening', 'swing', 'jazz trombone', 'vocal jazz', 'lounge', 'dixieland']",1946,25,206800,https://open.spotify.com/track/7a5VuzvBrtbqYT7kNlQlFd,https://i.scdn.co/image/ab67616d00001e020cc5eb834d42e68068a11e93,spotify:track:7a5VuzvBrtbqYT7kNlQlFd,44,0.947,0.588,0.312,2.07e-05,0.445,-10.461,0.074,144.768,0.639,5,1,4
They Say It's Wonderful - Remastered,Today & Yesterday,1993-10-25,['Perry Como'],"['adult standards', 'easy listening']",1946,25,156026,https://open.spotify.com/track/45OeXfszJZiOzSDfyvn3I3,https://i.scdn.co/image/ab67616d00001e022027745ea676490e7d3376ed,spotify:track:45OeXfszJZiOzSDfyvn3I3,9,0.978,0.312,0.0841,1.67e-06,0.212,-15.885,0.0344,82.169,0.252,4,1,3
To Each His Own,The Best Of The Mercury Years,1996-01-01,['Tony Martin'],['deep adult standards'],1946,25,189800,https://open.spotify.com/track/04WFpAODvh9f8QCxbPgoUX,https://i.scdn.co/image/ab67616d00001e0282f9464ece2e4baf47d483a8,spotify:track:04WFpAODvh9f8QCxbPgoUX,3,0.898,0.406,0.193,1.71e-06,0.142,-15.009,0.0349,67.247,0.354,3,1,4
You Won't Be Satisfied Until You Break My Heart,The Best Collection: Les Brown,2014-05-05,['Les Brown'],"['swing', 'big band', 'motivation']",1946,26,186440,https://open.spotify.com/track/6X2cCXy59I0CtoxQ4G501j,https://i.scdn.co/image/ab67616d00001e02c5d75e9dadb2cfe8ecbfdd1e,spotify:track:6X2cCXy59I0CtoxQ4G501j,1,0.963,0.558,0.0921,0.000456,0.0884,-12.183,0.0424,73.736,0.319,6,0,4
Symphony,"16 Most Requested Songs Of The 1940s, Volume One",1989-06-13,['Benny Goodman'],"['jazz', 'big band', 'jazz clarinet', 'adult standards', 'tin pan alley', 'vintage jazz', 'swing', 'vocal jazz', 'dixieland']",1946,27,188506,https://open.spotify.com/track/2VrUcxWYViR8y0YfMPAZ1u,https://i.scdn.co/image/ab67616d00001e02207235766c4f06b08449e5f6,spotify:track:2VrUcxWYViR8y0YfMPAZ1u,23,0.968,0.555,0.0644,0.00108,0.196,-18.904,0.0336,102.704,0.279,8,1,4
Oh What It Seemed To Be,Diggin' A Groove,2011-09-30,['Charlie Spivak & His Orchestra'],"[""man's orchestra""]",1946,28,156494,https://open.spotify.com/track/7k3GfnMsOgzU9sygbZMeF3,https://i.scdn.co/image/ab67616d00001e022b53bb18acb9df2a26390aa1,spotify:track:7k3GfnMsOgzU9sygbZMeF3,1,0.993,0.334,0.03,0.563,0.176,-27.598,0.0446,87.184,0.637,3,1,4
Doin' What Comes Natur'lly,"Greatest Classics: Andre Kostelanetz, Xavier Cugat, Freddy Martin",2014-09-02,['Freddy Martin'],[],1946,28,196413,https://open.spotify.com/track/1lIhotwK8MRH2STLkbYPc4,https://i.scdn.co/image/ab67616d00001e021dd41072d5378d3ec0cef610,spotify:track:1lIhotwK8MRH2STLkbYPc4,1,0.892,0.615,0.387,0.0,0.0636,-6.815,0.0384,168.021,0.962,10,1,4
The Old Lamp-Lighter,The Best Of Kay Kyser and His Orchestra,2000-05-09,['Kay Kyser & His Orchestra'],"[""man's orchestra""]",1946,28,199160,https://open.spotify.com/track/0sJqdV5n24uO4AdeQsY7k7,https://i.scdn.co/image/ab67616d00001e02fa9fab792e87b717952b001a,spotify:track:0sJqdV5n24uO4AdeQsY7k7,0,0.993,0.24,0.0675,0.000464,0.119,-17.702,0.0344,82.782,0.228,5,1,4
If I Loved You,Imagination,1982,['Dick Haymes'],"['swing', 'deep adult standards', 'british dance band']",1946,29,119840,https://open.spotify.com/track/1938FeAi8kI7w9TpbgQWgP,https://i.scdn.co/image/ab67616d00001e028e71eb4be67203cf16342418,spotify:track:1938FeAi8kI7w9TpbgQWgP,55,0.98,0.0,0.214,0.916,0.12,-18.376,0.0,0.0,0.0,10,0,0
Boogie Woogie Bugle Boy,Rarities,1984-01-01,['The Andrews Sisters'],"['vocal harmony group', 'swing', 'adult standards', 'torch song']",1946,30,161933,https://open.spotify.com/track/3axPhcbhVDOA9MnhkUrFcE,https://i.scdn.co/image/ab67616d00001e0255e73f203a199dcad9c42d69,spotify:track:3axPhcbhVDOA9MnhkUrFcE,51,0.881,0.64,0.479,0.000171,0.0973,-11.55,0.467,166.868,0.79,7,1,4
(A Hubba-Hubba-Hubba) Dig You Later,The Very Best Of Perry Como,2000-07-11,['Perry Como'],"['adult standards', 'easy listening']",1946,31,182973,https://open.spotify.com/track/4xc6ja6BCitKPuRZj8NMva,https://i.scdn.co/image/ab67616d00001e02c6a9dee8af5800ca98c6971a,spotify:track:4xc6ja6BCitKPuRZj8NMva,16,0.947,0.809,0.379,0.0,0.176,-11.242,0.268,80.225,0.863,1,1,4
Symphony,Starring Jo Stafford,1953-01-01,['Jo Stafford'],['torch song'],1946,32,150000,https://open.spotify.com/track/1EKV7dUjjJQW0n5jF6S8gK,https://i.scdn.co/image/ab67616d00001e02083d57838e1cdc0c7f7ad903,spotify:track:1EKV7dUjjJQW0n5jF6S8gK,19,0.926,0.305,0.215,3.62e-05,0.242,-10.415,0.0332,90.395,0.212,7,1,4
To Each His Own,Now (Expanded Edition),1984-05-21,['Patrice Rushen'],"['jazz funk', 'quiet storm', 'disco', 'post-disco', 'soul', 'funk']",1946,33,254480,https://open.spotify.com/track/3FOtABYcehdbEpaLi9KEJd,https://i.scdn.co/image/ab67616d00001e0208b381044f83825b528c6e3b,spotify:track:3FOtABYcehdbEpaLi9KEJd,49,0.199,0.917,0.278,0.000151,0.0621,-14.002,0.161,106.341,0.663,10,0,4
Sioux City Sue - 1946 Single Version / With 1954 Spoken Introduction,Bing: A Musical Autobiography,1954-08-01,"['Bing Crosby', 'The Jesters', 'Bob Haggart & His Orchestra']","['adult standards', 'rhythm and blues', 'lounge', 'easy listening']",1946,34,181466,https://open.spotify.com/track/4zenavau6aK3yvLwTNB04X,https://i.scdn.co/image/ab67616d00001e02f9ac670874ec5fe683f8e1ba,spotify:track:4zenavau6aK3yvLwTNB04X,0,0.79,0.667,0.29,0.0,0.0444,-13.799,0.076,83.45,0.797,7,0,4
(I Love You) For Sentimental Reasons,Unforgettable,1954-01-01,['Nat King Cole Trio'],"['swing', 'adult standards', 'lounge', 'vocal jazz']",1946,35,172666,https://open.spotify.com/track/5pwrRrUj38H0Ouj68n34JS,https://i.scdn.co/image/ab67616d00001e02fdd261528e3590ac36bb85f0,spotify:track:5pwrRrUj38H0Ouj68n34JS,33,0.981,0.49,0.101,0.00946,0.112,-16.229,0.0364,73.797,0.295,1,1,3
Near You,Bewitching Piano,2001,['Francis Craig'],[],1947,1,171533,https://open.spotify.com/track/0i7GVS1YRgSOvqNz1Ganhl,https://i.scdn.co/image/ab67616d00001e02c59ba11d88f81c81cb70a740,spotify:track:0i7GVS1YRgSOvqNz1Ganhl,21,0.97,0.59,0.2,0.769,0.11,-18.52,0.0323,135.551,0.533,2,1,4
"Peg O' My Heart - Live On The Ed Sullivan Show, February 26, 1950","Peg O' My Heart (Live On The Ed Sullivan Show, February 26, 1950)",2021-07-03,['The Harmonicats'],[],1947,2,132365,https://open.spotify.com/track/3tIHxflVpnVZEl4lwmX9JQ,https://i.scdn.co/image/ab67616d00001e02964700c148fac2a395f93a88,spotify:track:3tIHxflVpnVZEl4lwmX9JQ,1,0.95,0.291,0.654,0.93,0.879,-10.709,0.0999,73.815,0.563,9,0,4
Heartaches - Remastered,Golden Selection (Remastered),2020-09-18,['Ted Weems'],"['vaudeville', 'vintage jazz', 'big band', 'british dance band']",1947,3,157106,https://open.spotify.com/track/2YIWbp45LbCno7LmRUjH8Z,https://i.scdn.co/image/ab67616d00001e027b4d8ba09ac3f8418cfb86e6,spotify:track:2YIWbp45LbCno7LmRUjH8Z,19,0.714,0.708,0.844,0.783,0.144,-7.968,0.0522,132.785,0.861,5,0,4
Linda,L'amica di mia madre (Colonna sonora originale del film),1975-09-05,['Alberto Baldan Bembo'],"['vintage italian soundtrack', 'italian library music']",1947,4,63501,https://open.spotify.com/track/6zE2xJvFmHEPECsvLki2CE,https://i.scdn.co/image/ab67616d00001e028cff60f4f7347d871f78be2f,spotify:track:6zE2xJvFmHEPECsvLki2CE,60,0.858,0.577,0.137,0.875,0.115,-15.81,0.0399,132.704,0.232,7,1,4
Smoke! Smoke! Smoke! (That Cigarette),Smoke Smoke Smoke,1960-01-01,['Tex Williams'],"['western swing', 'cowboy western']",1947,4,163333,https://open.spotify.com/track/05HBDnASISMJN46VxzDafK,https://i.scdn.co/image/ab67616d00001e0232d29391915dc8f80945a4d5,spotify:track:05HBDnASISMJN46VxzDafK,45,0.748,0.653,0.716,0.0,0.062,-7.443,0.367,124.51,0.877,4,1,4
I Wish I Didn't Love You So,Time On My Hands,2000,['Vaughn Monroe'],"['swing', 'vaudeville', 'deep adult standards', 'british dance band']",1947,5,168467,https://open.spotify.com/track/7Fdyd5D5BwqRKUQFT34LrE,https://i.scdn.co/image/ab67616d00001e02dcae4144a7683b7c5139c33c,spotify:track:7Fdyd5D5BwqRKUQFT34LrE,9,0.987,0.282,0.0896,0.892,0.116,-21.529,0.0333,90.419,0.272,10,1,3
Peg O' My Heart,Under Paris Skies,1955,['The Three Suns'],"['easy listening', 'exotica']",1947,6,143767,https://open.spotify.com/track/6H1BaNZyIv0pWoLkx8omDd,https://i.scdn.co/image/ab67616d00001e024f68cee08ac9874a30462135,spotify:track:6H1BaNZyIv0pWoLkx8omDd,0,0.571,0.471,0.157,0.306,0.0859,-18.368,0.04,77.213,0.56,0,1,4
The Anniversary Song,The World's Greatest Entertainer!,2023-03-17,['Al Jolson'],"['vaudeville', 'music hall', 'big band', 'vintage jazz', 'tin pan alley', 'swing', 'british dance band']",1947,7,188421,https://open.spotify.com/track/33eRMKAGr7DmEkbmquiJYK,https://i.scdn.co/image/ab67616d00001e0242e01946e25b48ddf9962b59,spotify:track:33eRMKAGr7DmEkbmquiJYK,6,0.634,0.215,0.426,0.0753,0.0933,-11.764,0.0329,140.252,0.332,8,0,5
Stand Up and Shout About Love,One In A Million You,1980,['Larry Graham'],"['p funk', 'funk']",1947,8,252400,https://open.spotify.com/track/7eYCfWI5g5QHfCZ27gny1E,https://i.scdn.co/image/ab67616d00001e023cba7377b2129f0f8758796f,spotify:track:7eYCfWI5g5QHfCZ27gny1E,29,0.719,0.814,0.466,4.71e-06,0.0838,-12.927,0.0819,99.861,0.693,7,1,4
That's My Desire,Say Something Nice About Me,1947-01-01,['Sammy Kaye and His Orchestra'],"[""man's orchestra""]",1947,9,156609,https://open.spotify.com/track/0z8G4SgXaqwFx3sfMwlmur,https://i.scdn.co/image/ab67616d00001e02e3d9af3427d5fff75cc97cb0,spotify:track:0z8G4SgXaqwFx3sfMwlmur,1,0.995,0.288,0.0168,0.00927,0.0991,-20.423,0.0368,81.889,0.0861,10,1,3
Dance Ballerina Dance,Presenting Vaughn Monroe,1949-12-03,['Vaughn Monroe'],"['swing', 'vaudeville', 'deep adult standards', 'british dance band']",1947,10,208053,https://open.spotify.com/track/4Yuug0cnC1XHjAyLe11yUq,https://i.scdn.co/image/ab67616d00001e02e8f1be013a333a3545850997,spotify:track:4Yuug0cnC1XHjAyLe11yUq,21,0.972,0.551,0.379,0.921,0.295,-11.712,0.0606,121.965,0.812,9,1,4
"Managua, Nicaragua",Presenting Freddy Martin,1948-05-06,['Freddy Martin'],[],1947,11,172773,https://open.spotify.com/track/2oGCMCYEGI6BB9ruLT4caq,https://i.scdn.co/image/ab67616d00001e0291398be3f9d70153592918d7,spotify:track:2oGCMCYEGI6BB9ruLT4caq,21,0.915,0.68,0.282,4.48e-05,0.0795,-9.523,0.0364,61.554,0.713,2,1,4
Mam'selle,Peg O' My Heart & Other Hits,2023-02-03,['Art Lund'],[],1947,11,196546,https://open.spotify.com/track/7rBL12epoBB1HSSVIzNa7y,https://i.scdn.co/image/ab67616d00001e02131518ca8c4d0ef16fec367c,spotify:track:7rBL12epoBB1HSSVIzNa7y,14,0.773,0.285,0.251,0.00333,0.357,-11.761,0.0312,74.848,0.306,4,1,4
"Chi-Baba, Chi-Baba (My Bambino Go To Sleep)",The Essential Perry Como,2010-10-26,['Perry Como'],"['adult standards', 'easy listening']",1947,12,176840,https://open.spotify.com/track/2MxFk746e4LJmVUHm8OqDc,https://i.scdn.co/image/ab67616d00001e028996ed54d0409f7393ed9c3a,spotify:track:2MxFk746e4LJmVUHm8OqDc,22,0.992,0.602,0.159,0.000155,0.0739,-15.947,0.0513,87.787,0.623,10,1,4
Temptation (Tim-Tayshun),The Ultimate Capitol Collection,2007-01-01,"['Jo Stafford', 'Red Ingle & Natural Seven']",['torch song'],1947,12,162893,https://open.spotify.com/track/1MBtVG9uZ2ODiJanIqJi1i,https://i.scdn.co/image/ab67616d00001e0278541856ab0a9f05ae6d83c6,spotify:track:1MBtVG9uZ2ODiJanIqJi1i,16,0.639,0.858,0.48,1.58e-06,0.031,-8.567,0.0629,114.321,0.965,10,1,4
I Wonder Who's Kissing Her Now,A Little Touch of Schmilsson in the Night,1973-06-01,['Harry Nilsson'],"['classic rock', 'singer-songwriter', 'folk', 'folk rock']",1947,13,158626,https://open.spotify.com/track/4clwLmEGMgZJqe701XUwYb,https://i.scdn.co/image/ab67616d00001e0246e7ad3642411639ef97b0eb,spotify:track:4clwLmEGMgZJqe701XUwYb,22,0.823,0.217,0.158,0.449,0.229,-17.101,0.037,146.941,0.0802,1,1,3
Near You,Their Greatest Hits And Finest Performances,1996-01-01,"['The Andrews Sisters', 'Vic Schoen & His Orchestra']","['vocal harmony group', 'swing', 'adult standards', 'torch song']",1947,14,184200,https://open.spotify.com/track/2xCSpamWdYWIYCCsHLnTTS,https://i.scdn.co/image/ab67616d00001e025dce3390d208e9ad03c3632d,spotify:track:2xCSpamWdYWIYCCsHLnTTS,21,0.972,0.752,0.132,1.26e-06,0.131,-14.69,0.0402,120.779,0.372,0,0,4
The Old Lamplighter,1944,1986,['Sammy Kaye and His Orchestra'],"[""man's orchestra""]",1947,15,207466,https://open.spotify.com/track/3gAUzbcHBs9f4oGg82YHXv,https://i.scdn.co/image/ab67616d00001e02c51489c694f3e41a145630f6,spotify:track:3gAUzbcHBs9f4oGg82YHXv,23,0.985,0.288,0.108,0.000115,0.157,-17.36,0.0351,77.472,0.227,2,1,3
When You Were Sweet Sixteen,The Essential Perry Como,2010-10-26,['Perry Como'],"['adult standards', 'easy listening']",1947,16,189973,https://open.spotify.com/track/4oyVWxLpGes0rzpPyeGmFK,https://i.scdn.co/image/ab67616d00001e028996ed54d0409f7393ed9c3a,spotify:track:4oyVWxLpGes0rzpPyeGmFK,14,0.99,0.271,0.0692,0.00282,0.122,-15.848,0.0324,95.946,0.244,10,1,3
Life's Song,Life's Song,2021-06-25,['Jack Owens'],[],1947,17,223934,https://open.spotify.com/track/1PChEFN80bedWzx9AzgKJl,https://i.scdn.co/image/ab67616d00001e020e8fae844ccafdf50ea9c532,spotify:track:1PChEFN80bedWzx9AzgKJl,0,0.203,0.517,0.67,1.7e-05,0.135,-5.907,0.0301,150.034,0.294,1,1,4
