Rank,Song,Artist,Year
16,Brown Sugar,The Rolling Stones,1971
17,You've Got a Friend,James Taylor,1971
18,Mr. Big Stuff,Jean Knight,1971
19,Do You Know What I Mean,Lee Michaels,1971
20,The Night They Drove Old Dixie Down,Joan Baez,1971
21,What's Going On,Marvin Gaye,1971
22,Uncle Albert/Admiral Halsey,Paul & Linda McCartney,1971
23,Ain't No Sunshine,Bill Withers,1971
24,Signs,Five Man Electrical Band,1971
25,She's a Lady,Tom Jones,1971
26,I've Found Someone of My Own,The Free Movement,1971
27,Superstar,Murray Head & The Trinidad Singers,1971
28,Amos Moses,Jerry Reed,1971
29,Temptation Eyes,The Grass Roots,1971
30,Superstar,The Carpenters,1971
31,My Sweet Lord,George Harrison,1971
32,Sweet and Innocent,Donny Osmond,1971
33,Put Your Hand in the Hand,Ocean,1971
34,Chick-A-Boom (Don't Ya Jes' Love It),Daddy Dewdrop,1971
35,For All We Know,The Carpenters,1971
36,If You Could Read My Mind,Gordon Lightfoot,1971
37,Help Me Make It Through the Night,Sammi Smith,1971
38,Rainy Days and Mondays,The Carpenters,1971
39,"Gypsys, Tramps & Thieves",Cher,1971
40,Never Can Say Goodbye,The Jackson 5,1971
41,Rose Garden,Lynn Anderson,1971
42,Don't Pull Your Love,"Hamilton, Joe Frank & Reynolds",1971
43,It Don't Come Easy,Ringo Starr,1971
44,Mr. Bojangles,Nitty Gritty Dirt Band,1971
45,I Love You for All Seasons,The Fuzz,1971
46,Whatcha See is Whatcha Get,The Dramatics,1971
47,That's the Way I've Always Heard It Should Be,Carly Simon,1971
48,If You Really Love Me,Stevie Wonder,1971
49,Spanish Harlem,Aretha Franklin,1971
50,I Don't Know How to Love Him,Helen Reddy,1971
51,Yo-Yo,The Osmonds,1971
52,Bridge over Troubled Water,Aretha Franklin,1971
53,Doesn't Somebody Want to Be Wanted,The Partridge Family,1971
54,Draggin' the Line,Tommy James,1971
55,Proud Mary,Ike & Tina Turner,1971
56,"Beginnings""/""Colour My World",Chicago,1971
57,Stay Awhile,The Bells,1971
58,Sweet City Woman,The Stampeders,1971
59,Me and You and a Dog Named Boo,Lobo,1971
60,"Another Day""/""Oh Woman, Oh Why",Paul McCartney,1971
61,If,Bread,1971
62,Mercy Mercy Me (The Ecology),Marvin Gaye,1971
63,One Toke Over the Line,Brewer & Shipley,1971
64,She's Not Just Another Woman,8th Day,1971
65,Bring the Boys Home,Freda Payne,1971
66,I Just Want to Celebrate,Rare Earth,1971
67,Never Ending Song of Love,Delaney & Bonnie & Friends,1971
68,Easy Loving,Freddie Hart,1971
69,Liar,Three Dog Night,1971
70,Stick-Up,Honey Cone,1971
71,Chirpy Chirpy Cheep Cheep,Mac and Katie Kissoon,1971
72,(Where Do I Begin?) Love Story,Andy Williams,1971
73,Wild World,Cat Stevens,1971
74,"When You're Hot, You're Hot",Jerry Reed,1971
75,Funky Nassau,The Beginning of the End,1971
76,If Not for You,Olivia Newton-John,1971
77,Groove Me,King Floyd,1971
78,Watching Scotty Grow,Bobby Goldsboro,1971
79,Woodstock,Matthews Southern Comfort,1971
80,Amazing Grace,Judy Collins,1971
81,I Hear You Knocking,Dave Edmunds,1971
82,Lonely Days,Bee Gees,1971
83,Here Comes That Rainy Day Feeling Again,The Fortunes,1971
84,Won't Get Fooled Again,The Who,1971
85,Trapped By a Thing Called Love,Denise LaSalle,1971
86,Mama's Pearl,The Jackson 5,1971
87,Timothy,The Buoys,1971
88,I Woke Up In Love This Morning,The Partridge Family,1971
89,Theme from Shaft,Isaac Hayes,1971
90,If I Were Your Woman,Gladys Knight & the Pips,1971
91,I Am...I Said,Neil Diamond,1971
92,The Wedding Song (There Is Love),Paul Stookey,1971
93,Don't Knock My Love,Wilson Pickett,1971
94,Love Her Madly,The Doors,1971
95,Here Comes the Sun,Richie Havens,1971
96,Sweet Mary,Wadsworth Mansion,1971
97,Right on the Tip of My Tongue,Brenda & the Tabulations,1971
98,One Less Bell to Answer,The 5th Dimension,1971
99,Riders on the Storm,The Doors,1971
100,It's Impossible,Perry Como,1971
1,The First Time Ever I Saw Your Face,Roberta Flack,1972
2,Alone Again (Naturally),Gilbert O'Sullivan,1972
3,American Pie,Don McLean,1972
4,Without You,Harry Nilsson,1972
5,The Candy Man,Sammy Davis Jr.,1972
6,I Gotcha,Joe Tex,1972
7,Lean on Me,Bill Withers,1972
8,"Baby, Don't Get Hooked on Me",Mac Davis,1972
9,Brand New Key,Melanie,1972
10,Daddy Don't You Walk So Fast,Wayne Newton,1972
11,Let's Stay Together,Al Green,1972
12,Brandy (You're a Fine Girl),Looking Glass,1972
13,Oh Girl,The Chi-Lites,1972
14,Nice to Be with You,Gallery,1972
15,My Ding-a-Ling,Chuck Berry,1972
16,(If Loving You Is Wrong) I Don't Want to Be Right,Luther Ingram,1972
17,Heart of Gold,Neil Young,1972
18,"Betcha by Golly, Wow",The Stylistics,1972
19,I'll Take You There,The Staple Singers,1972
20,Ben,Michael Jackson,1972
21,The Lion Sleeps Tonight,Robert John,1972
22,Outa-Space,Billy Preston,1972
23,Slippin' into Darkness,War,1972
24,Long Cool Woman in a Black Dress,The Hollies,1972
25,How Do You Do,Mouth & MacNeal,1972
26,Song Sung Blue,Neil Diamond,1972
27,A Horse with No Name,America,1972
28,Popcorn,Hot Butter,1972
29,Everybody Plays the Fool,The Main Ingredient,1972
30,Precious and Few,Climax,1972
31,(Last Night) I Didn't Get to Sleep at All,The 5th Dimension,1972
32,Nights in White Satin,The Moody Blues,1972
33,Go All the Way,Raspberries,1972
34,Too Late to Turn Back Now,Cornelius Brothers & Sister Rose,1972
35,Back Stabbers,The O'Jays,1972
36,Down by the Lazy River,The Osmonds,1972
37,Sunshine,Jonathan Edwards,1972
38,Starting All Over Again,Mel and Tim,1972
39,Day After Day,Badfinger,1972
40,Rocket Man,Elton John,1972
41,Rockin' Robin,Michael Jackson,1972
42,Beautiful Sunday,Daniel Boone,1972
43,Scorpio,Dennis Coffey,1972
44,Morning Has Broken,Cat Stevens,1972
45,City of New Orleans,Arlo Guthrie,1972
46,Garden Party,Ricky Nelson,1972
47,I Can See Clearly Now,Johnny Nash,1972
48,Burning Love,Elvis Presley,1972
49,Clean Up Woman,Betty Wright,1972
50,Hold Your Head Up,Argent,1972
51,Jungle Fever,The Chakachas,1972
52,Everything I Own,Bread,1972
53,In the Rain,The Dramatics,1972
54,Look What You Done for Me,Al Green,1972
55,The Happiest Girl in the Whole U.S.A.,Donna Fargo,1972
56,Bang a Gong (Get it On),T. Rex,1972
57,Mother and Child Reunion,Paul Simon,1972
58,Where Is the Love,Roberta Flack & Donny Hathaway,1972
59,I'm Still in Love with You,Al Green,1972
60,Layla,Derek and the Dominos,1972
61,Day Dreaming,Aretha Franklin,1972
62,The Way of Love,Cher,1972
63,Black and White,Three Dog Night,1972
64,Sylvia's Mother,Dr. Hook & the Medicine Show,1972
65,Hurting Each Other,The Carpenters,1972
66,Coconut,Harry Nilsson,1972
67,Puppy Love,Donny Osmond,1972
68,You Don't Mess Around with Jim,Jim Croce,1972
69,Hot Rod Lincoln,Commander Cody and His Lost Planet Airmen,1972
70,A Cowboy's Work Is Never Done,Sonny & Cher,1972
71,Joy,Apollo 100,1972
72,Anticipation,Carly Simon,1972
73,Never Been to Spain,Three Dog Night,1972
74,Kiss an Angel Good Mornin',Charley Pride,1972
75,School's Out,Alice Cooper,1972
76,Saturday in the Park,Chicago,1972
77,Drowning in the Sea of Love,Joe Simon,1972
78,Use Me,Bill Withers,1972
79,Family Affair,Sly & the Family Stone,1972
80,Troglodyte (Cave Man),The Jimmy Castor Bunch,1972
81,The Witch Queen of New Orleans,Redbone,1972
82,Freddie's Dead,Curtis Mayfield,1972
83,Power of Love,Joe Simon,1972
84,Ain't Understanding Mellow,Jerry Butler & Brenda Lee Eager,1972
85,Taxi,Harry Chapin,1972
86,Don't Say You Don't Remember,Beverly Bremers,1972
87,Sealed with a Kiss,Bobby Vinton,1972
88,I Saw the Light,Todd Rundgren,1972
89,Motorcycle Mama,Sailcat,1972
90,Day by Day,Original Cast of Godspell,1972
91,Roundabout,Yes,1972
92,Doctor My Eyes,Jackson Browne,1972
93,I'd Like to Teach the World to Sing (In Perfect Harmony),The New Seekers,1972
94,Vincent,Don McLean,1972
95,Baby Let Me Take You (In My Arms),The Detroit Emeralds,1972
96,Speak to the Sky,Rick Springfield,1972
97,I'd Like to Teach the World to Sing (In Perfect Harmony),The Hillside Singers,1972
98,Walkin' in the Rain with the One I Love,Love Unlimited,1972
99,Get on the Good Foot,James Brown,1972
100,Pop That Thang,The Isley Brothers,1972
1,Tie a Yellow Ribbon Round the Ole Oak Tree,Tony Orlando and Dawn,1973
2,"Bad, Bad Leroy Brown",Jim Croce,1973
3,Killing Me Softly with His Song,Roberta Flack,1973
4,Let's Get It On,Marvin Gaye,1973
5,My Love,Paul McCartney & Wings,1973
6,Why Me,Kris Kristofferson,1973
7,Crocodile Rock,Elton John,1973
8,Will It Go Round in Circles,Billy Preston,1973
9,You're So Vain,Carly Simon,1973
10,Touch Me in the Morning,Diana Ross,1973
11,The Night the Lights Went Out in Georgia,Vicki Lawrence,1973
12,Playground in My Mind,Clint Holmes,1973
13,Brother Louie,Stories,1973
14,Delta Dawn,Helen Reddy,1973
15,Me and Mrs. Jones,Billy Paul,1973
16,Frankenstein,The Edgar Winter Group,1973
17,Drift Away,Dobie Gray,1973
18,Little Willy,Sweet,1973
19,You Are the Sunshine of My Life,Stevie Wonder,1973
20,Half-Breed,Cher,1973
21,That Lady,The Isley Brothers,1973
22,Pillow Talk,Sylvia Robinson,1973
23,We're an American Band,Grand Funk Railroad,1973
24,Right Place Wrong Time,Dr. John,1973
25,Wildflower,Skylark,1973
26,Superstition,Stevie Wonder,1973
27,Loves Me Like a Rock,Paul Simon,1973
28,The Morning After,Maureen McGovern,1973
29,Rocky Mountain High,John Denver,1973
30,Stuck in the Middle with You,Stealers Wheel,1973
31,Shambala,Three Dog Night,1973
32,Love Train,The O'Jays,1973
33,I'm Gonna Love You Just a Little More Baby,Barry White,1973
34,"Say, Has Anybody Seen My Sweet Gypsy Rose",Tony Orlando and Dawn,1973
35,Keep on Truckin',Eddie Kendricks,1973
36,Danny's Song,Anne Murray,1973
37,Dancing in the Moonlight,King Harvest,1973
38,Monster Mash,Bobby 'Boris' Pickett,1973
39,Natural High,Bloodstone,1973
40,Diamond Girl,Seals and Crofts,1973
41,Long Train Runnin',The Doobie Brothers,1973
42,Give Me Love (Give Me Peace on Earth),George Harrison,1973
43,If You Want Me to Stay,Sly & the Family Stone,1973
44,Daddy's Home,Jermaine Jackson,1973
45,Neither One of Us (Wants to Be the First to Say Goodbye),Gladys Knight & the Pips,1973
46,I'm Doin' Fine Now,New York City,1973
47,Could It Be I'm Falling in Love,The Spinners,1973
48,Daniel,Elton John,1973
49,Midnight Train to Georgia,Gladys Knight & the Pips,1973
50,Smoke on the Water,Deep Purple,1973
51,The Cover of the Rolling Stone,Dr. Hook & The Medicine Show,1973
52,Behind Closed Doors,Charlie Rich,1973
53,Your Mama Don't Dance,Loggins and Messina,1973
54,Feelin' Stronger Every Day,Chicago,1973
55,The Cisco Kid,War,1973
56,Live and Let Die,Paul McCartney & Wings,1973
57,"Oh, Babe, What Would You Say?",Hurricane Smith,1973
58,I Believe in You (You Believe in Me),Johnnie Taylor,1973
59,Sing,The Carpenters,1973
60,Ain't No Woman (Like the One I've Got),The Four Tops,1973
61,Dueling Banjos,Eric Weissberg & Steve Mandell,1973
62,Higher Ground,Stevie Wonder,1973
63,Here I Am (Come and Take Me),Al Green,1973
64,My Maria,B.W. Stevenson,1973
65,Superfly,Curtis Mayfield,1973
66,Last Song,Edward Bear,1973
67,Get Down,Gilbert O'Sullivan,1973
68,Reelin' in the Years,Steely Dan,1973
69,Hocus Pocus,Focus,1973
70,Yesterday Once More,The Carpenters,1973
71,Boogie Woogie Bugle Boy,Bette Midler,1973
72,Clair,Gilbert O'Sullivan,1973
73,Do It Again,Steely Dan,1973
74,Kodachrome,Paul Simon,1973
75,Why Can't We Live Together,Timmy Thomas,1973
76,Do You Wanna Dance?,Bette Midler,1973
77,So Very Hard to Go,Tower of Power,1973
78,Rockin' Pneumonia and the Boogie Woogie Flu,Johnny Rivers,1973
79,Ramblin' Man,The Allman Brothers Band,1973
80,Masterpiece,The Temptations,1973
81,Peaceful,Helen Reddy,1973
82,One of a Kind (Love Affair),The Spinners,1973
83,Funny Face,Donna Fargo,1973
84,Funky Worm,Ohio Players,1973
85,Angie,The Rolling Stones,1973
86,Jambalaya (On the Bayou),Blue Ridge Rangers,1973
87,Don't Expect Me to Be Your Friend,Lobo,1973
88,Break Up to Make Up,The Stylistics,1973
89,Daisy a Day,Jud Strunk,1973
90,Also Sprach Zarathustra (2001),Deodato,1973
91,Stir It Up,Johnny Nash,1973
92,Money,Pink Floyd,1973
93,Gypsy Man,War,1973
94,The World Is a Ghetto,War,1973
95,Yes We Can Can,The Pointer Sisters,1973
96,Free Ride,The Edgar Winter Group,1973
97,Space Oddity,David Bowie,1973
98,It Never Rains in Southern California,Albert Hammond,1973
99,The Twelfth of Never,Donny Osmond,1973
100,Papa Was a Rollin' Stone,The Temptations,1973
1,The Way We Were,Barbra Streisand,1974
2,Seasons in the Sun,Terry Jacks,1974
3,Love's Theme,Love Unlimited Orchestra,1974
4,Come and Get Your Love,Redbone,1974
5,Dancing Machine,The Jackson 5,1974
6,The Loco-Motion,Grand Funk Railroad,1974
7,TSOP (The Sound of Philadelphia),MFSB,1974
8,The Streak,Ray Stevens,1974
9,Bennie and the Jets,Elton John,1974
10,One Hell of a Woman,Mac Davis,1974
11,Until You Come Back to Me (That's What I'm Gonna Do),Aretha Franklin,1974
12,Jungle Boogie,Kool & the Gang,1974
13,Midnight at the Oasis,Maria Muldaur,1974
14,You Make Me Feel Brand New,The Stylistics,1974
15,Show and Tell,Al Wilson,1974
16,Spiders and Snakes,Jim Stafford,1974
17,Rock On,David Essex,1974
18,Sunshine on My Shoulders,John Denver,1974
19,Sideshow,Blue Magic,1974
20,Hooked on a Feeling,Blue Swede,1974
21,Billy Don't Be a Hero,Bo Donaldson and The Heywoods,1974
22,Band on the Run,Paul McCartney and Wings,1974
23,The Most Beautiful Girl,Charlie Rich,1974
24,Time in a Bottle,Jim Croce,1974
25,Annie's Song,John Denver,1974
26,Let Me Be There,Olivia Newton-John,1974
27,Sundown,Gordon Lightfoot,1974
28,(You're) Having My Baby,Paul Anka,1974
29,Rock Me Gently,Andy Kim,1974
30,Boogie Down,Eddie Kendricks,1974
31,You're Sixteen,Ringo Starr,1974
32,If You Love Me (Let Me Know),Olivia Newton-John,1974
33,Dark Lady,Cher,1974
34,Best Thing That Ever Happened to Me,Gladys Knight & the Pips,1974
35,Feel Like Makin' Love,Roberta Flack,1974
36,Just Don't Want to Be Lonely,The Main Ingredient,1974
37,Nothing from Nothing,Billy Preston,1974
38,Rock Your Baby,George McCrae,1974
39,Top of the World,The Carpenters,1974
40,The Joker,Steve Miller Band,1974
41,I've Got to Use My Imagination,Gladys Knight & the Pips,1974
42,The Show Must Go On,Three Dog Night,1974
43,Rock the Boat,The Hues Corporation,1974
44,Smokin' in the Boys Room,Brownsville Station,1974
45,Living for the City,Stevie Wonder,1974
46,Then Came You,Dionne Warwick & The Spinners,1974
47,The Night Chicago Died,Paper Lace,1974
48,The Entertainer,Marvin Hamlisch,1974
49,Waterloo,ABBA,1974
50,The Air That I Breathe,The Hollies,1974
51,Rikki Don't Lose That Number,Steely Dan,1974
52,Mockingbird,Carly Simon & James Taylor,1974
53,Help Me,Joni Mitchell,1974
54,You Won't See Me,Anne Murray,1974
55,"Never, Never Gonna Give You Up",Barry White,1974
56,Tell Me Something Good,Rufus & Chaka Khan,1974
57,You and Me Against the World,Helen Reddy,1974
58,Rock and Roll Heaven,The Righteous Brothers,1974
59,Hollywood Swinging,Kool & the Gang,1974
60,Be Thankful for What You Got,William DeVaughn,1974
61,Hang on in There Baby,Johnny Bristol,1974
62,Eres tú,Mocedades,1974
63,Takin' Care of Business,Bachman-Turner Overdrive,1974
64,Radar Love,Golden Earring,1974
65,Please Come to Boston,Dave Loggins,1974
66,Keep on Smilin',Wet Willie,1974
67,Lookin' for a Love,Bobby Womack,1974
68,Put Your Hands Together,The O'Jays,1974
69,On and On,Gladys Knight & the Pips,1974
70,Oh Very Young,Cat Stevens,1974
71,Leave Me Alone (Ruby Red Dress),Helen Reddy,1974
72,Goodbye Yellow Brick Road,Elton John,1974
73,(I've Been) Searchin' So Long,Chicago,1974
74,Oh My My,Ringo Starr,1974
75,For the Love of Money,The O'Jays,1974
76,I Shot the Sheriff,Eric Clapton,1974
77,Jet,Paul McCartney and Wings,1974
78,Don't Let the Sun Go Down on Me,Elton John,1974
79,Tubular Bells,Mike Oldfield,1974
80,A Love Song,Anne Murray,1974
81,I'm Leaving It (All) Up to You,Donny and Marie Osmond,1974
82,Hello It's Me,Todd Rundgren,1974
83,I Love,Tom T. Hall,1974
84,Clap for the Wolfman,The Guess Who featuring Wolfman Jack,1974
85,I'll Have to Say I Love You in a Song,Jim Croce,1974
86,The Lord's Prayer,Sister Janet Mead,1974
87,Trying to Hold on to My Woman,Lamont Dozier,1974
88,Don't You Worry 'bout a Thing,Stevie Wonder,1974
89,A Very Special Love Song,Charlie Rich,1974
90,My Girl Bill,Jim Stafford,1974
91,Helen Wheels,Paul McCartney and Wings,1974
92,My Mistake (Was to Love You),Diana Ross & Marvin Gaye,1974
93,Wildwood Weed,Jim Stafford,1974
94,Beach Baby,The First Class,1974
95,Me and Baby Brother,War,1974
96,Rockin' Roll Baby,The Stylistics,1974
97,I Honestly Love You,Olivia Newton-John,1974
98,Call on Me,Chicago,1974
99,Wild Thing,Fancy,1974
100,Mighty Love,The Spinners,1974
1,Love Will Keep Us Together,Captain & Tennille,1975
2,Rhinestone Cowboy,Glen Campbell,1975
3,Philadelphia Freedom,Elton John,1975
4,Before the Next Teardrop Falls,Freddy Fender,1975
5,My Eyes Adored You,Frankie Valli,1975
6,Some Kind of Wonderful,Grand Funk Railroad,1975
7,Shining Star,"Earth, Wind & Fire",1975
8,Fame,David Bowie,1975
9,Laughter in the Rain,Neil Sedaka,1975
10,One of These Nights,Eagles,1975
11,Thank God I'm a Country Boy,John Denver,1975
12,Jive Talkin',Bee Gees,1975
13,Best of My Love,Eagles,1975
14,Lovin' You,Minnie Riperton,1975
15,Kung Fu Fighting,Carl Douglas,1975
16,Black Water,The Doobie Brothers,1975
17,The Ballroom Blitz,Sweet,1975
18,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas,1975
19,He Don't Love You (Like I Love You),Tony Orlando and Dawn,1975
20,At Seventeen,Janis Ian,1975
21,Pick Up the Pieces,Average White Band,1975
22,The Hustle,Van McCoy & the Soul City Symphony,1975
23,Lady Marmalade,Labelle,1975
24,Why Can't We Be Friends?,War,1975
25,Love Won't Let Me Wait,Major Harris,1975
26,Boogie On Reggae Woman,Stevie Wonder,1975
27,Wasted Days and Wasted Nights,Freddy Fender,1975
28,Angie Baby,Helen Reddy,1975
29,Fight the Power,The Isley Brothers,1975
30,Jackie Blue,Ozark Mountain Daredevils,1975
31,Fire,Ohio Players,1975
32,Magic,Pilot,1975
33,Please Mr. Postman,The Carpenters,1975
34,Sister Golden Hair,America,1975
35,Lucy in the Sky with Diamonds,Elton John,1975
36,Mandy,Barry Manilow,1975
37,Have You Never Been Mellow,Olivia Newton-John,1975
38,Could It Be Magic,Barry Manilow,1975
39,Cat's in the Cradle,Harry Chapin,1975
40,Wildfire,Michael Martin Murphey,1975
41,I'm Not Lisa,Jessi Colter,1975
42,Listen to What the Man Said,Wings,1975
43,I'm Not in Love,10cc,1975
44,I Can Help,Billy Swan,1975
45,Fallin' in Love,"Hamilton, Joe Frank & Reynolds",1975
46,Feelings,Morris Albert,1975
47,When Will I Be Loved,Linda Ronstadt,1975
48,Chevy Van,Sammy Johns,1975
49,"You're the First, the Last, My Everything",Barry White,1975
50,Please Mr. Please,Olivia Newton-John,1975
51,You're No Good,Linda Ronstadt,1975
52,Dynomite,Bazuka,1975
53,Walking in Rhythm,The Blackbyrds,1975
54,"The Way We Were""/""Try to Remember",Gladys Knight & the Pips,1975
55,Midnight Blue,Melissa Manchester,1975
56,"Don't Call Us, We'll Call You",Sugarloaf,1975
57,Poetry Man,Phoebe Snow,1975
58,How Long?,Ace,1975
59,Express,B.T. Express,1975
60,That's the Way of the World,"Earth, Wind & Fire",1975
61,Lady,Styx,1975
62,Bad Time,Grand Funk,1975
63,Only Women Bleed,Alice Cooper,1975
64,Doctor's Orders,Carol Douglas,1975
65,Get Down Tonight,KC and the Sunshine Band,1975
66,One Man Woman/One Woman Man,Paul Anka & Odia Coates,1975
67,You Are So Beautiful,Joe Cocker,1975
68,Feel Like Makin' Love,Bad Company,1975
69,How Sweet It Is (To Be Loved by You),James Taylor,1975
70,Dance with Me,Orleans,1975
71,Cut the Cake,Average White Band,1975
72,Never Can Say Goodbye,Gloria Gaynor,1975
73,I Don't Like to Sleep Alone,Paul Anka & Odia Coates,1975
74,Morning Side of the Mountain,Donny & Marie Osmond,1975
75,When Will I See You Again,The Three Degrees,1975
76,"Get Down, Get Down (Get on the Floor)",Joe Simon,1975
77,I'm Sorry,John Denver,1975
78,Killer Queen,Queen,1975
79,Shoeshine Boy,Eddie Kendricks,1975
80,Do It ('Til You're Satisfied),B.T. Express,1975
81,Can't Get It Out of My Head,Electric Light Orchestra,1975
82,Sha-La-La (Make Me Happy),Al Green,1975
83,Lonely People,America,1975
84,You Got the Love,Rufus,1975
85,The Rockford Files Theme,Mike Post,1975
86,It Only Takes a Minute,Tavares,1975
87,No No Song,Ringo Starr,1975
88,Junior's Farm,Paul McCartney & Wings,1975
89,Bungle in the Jungle,Jethro Tull,1975
90,Long Tall Glasses (I Can Dance),Leo Sayer,1975
91,Misty,Ray Stevens,1975
92,Someone Saved My Life Tonight,Elton John,1975
93,Bad Blood,Neil Sedaka,1975
94,Only Yesterday,The Carpenters,1975
95,I'm on Fire,Dwight Twilley Band,1975
96,Only You (And You Alone),Ringo Starr,1975
97,Third Rate Romance,Amazing Rhythm Aces,1975
98,You Ain't Seen Nothing Yet,Bachman–Turner Overdrive,1975
99,Swearin' to God,Frankie Valli,1975
100,Get Dancin',Disco-Tex and the Sex-O-Lettes,1975
1,Silly Love Songs,Wings,1976
2,Don't Go Breaking My Heart,Elton John & Kiki Dee,1976
3,Disco Lady,Johnnie Taylor,1976
4,"December, 1963 (Oh, What a Night)",The Four Seasons,1976
5,Play That Funky Music,Wild Cherry,1976
6,Kiss and Say Goodbye,The Manhattans,1976
7,Love Machine,The Miracles,1976
8,50 Ways to Leave Your Lover,Paul Simon,1976
9,Love Is Alive,Gary Wright,1976
10,A Fifth of Beethoven,Walter Murphy & The Big Apple Band,1976
11,Sara Smile,Hall & Oates,1976
12,Afternoon Delight,Starland Vocal Band,1976
13,I Write the Songs,Barry Manilow,1976
14,"Fly, Robin, Fly",Silver Convention,1976
15,Love Hangover,Diana Ross,1976
16,Get Closer,Seals and Crofts,1976
17,"More, More, More",Andrea True Connection,1976
18,Bohemian Rhapsody,Queen,1976
19,Misty Blue,Dorothy Moore,1976
20,Boogie Fever,The Sylvers,1976
21,I'd Really Love to See You Tonight,England Dan & John Ford Coley,1976
22,You Sexy Thing,Hot Chocolate,1976
23,Love Hurts,Nazareth,1976
24,Get Up and Boogie,Silver Convention,1976
25,Take It to the Limit,Eagles,1976
26,"(Shake, Shake, Shake) Shake Your Booty",KC and the Sunshine Band,1976
27,Sweet Love,Commodores,1976
28,Right Back Where We Started From,Maxine Nightingale,1976
29,Theme from S.W.A.T.,Rhythm Heritage,1976
30,Love Rollercoaster,Ohio Players,1976
31,You Should Be Dancing,Bee Gees,1976
32,You'll Never Find Another Love Like Mine,Lou Rawls,1976
33,Golden Years,David Bowie,1976
34,Moonlight Feels Right,Starbuck,1976
35,Only Sixteen,Dr. Hook,1976
36,Let Your Love Flow,The Bellamy Brothers,1976
37,Dream Weaver,Gary Wright,1976
38,Turn the Beat Around,Vicki Sue Robinson,1976
39,Lonely Night (Angel Face),Captain & Tennille,1976
40,All by Myself,Eric Carmen,1976
41,Love to Love You Baby,Donna Summer,1976
42,Deep Purple,Donny & Marie Osmond,1976
43,Theme from Mahogany (Do You Know Where You're Going To),Diana Ross,1976
44,Sweet Thing,Rufus,1976
45,That's the Way (I Like It),KC and the Sunshine Band,1976
46,A Little Bit More,Dr. Hook,1976
47,Shannon,Henry Gross,1976
48,If You Leave Me Now,Chicago,1976
49,Lowdown,Boz Scaggs,1976
50,Show Me the Way,Peter Frampton,1976
51,Dream On,Aerosmith,1976
52,I Love Music,The O'Jays,1976
53,Say You Love Me,Fleetwood Mac,1976
54,Times of Your Life,Paul Anka,1976
55,Devil Woman,Cliff Richard,1976
56,Fooled Around and Fell in Love,Elvin Bishop,1976
57,Convoy,C. W. McCall,1976
58,Welcome Back,John Sebastian,1976
59,Sing a Song,"Earth, Wind & Fire",1976
60,Heaven Must Be Missing an Angel,Tavares,1976
61,I'll Be Good to You,The Brothers Johnson,1976
62,Rock and Roll Music,The Beach Boys,1976
63,Shop Around,Captain & Tennille,1976
64,Saturday Night,Bay City Rollers,1976
65,Island Girl,Elton John,1976
66,Let's Do It Again,The Staple Singers,1976
67,Let 'Em In,Wings,1976
68,Baby Face,Wing and a Prayer Fife and Drum Corps,1976
69,This Masquerade,George Benson,1976
70,Evil Woman,Electric Light Orchestra,1976
71,Wham Bam,Silver,1976
72,I'm Easy,Keith Carradine,1976
73,Wake Up Everybody,Harold Melvin & the Blue Notes,1976
74,Summer,War,1976
75,Let Her In,John Travolta,1976
76,Fox on the Run,Sweet,1976
77,Rhiannon,Fleetwood Mac,1976
78,Got to Get You into My Life,The Beatles,1976
79,Fanny (Be Tender with My Love),Bee Gees,1976
80,Getaway,"Earth, Wind & Fire",1976
81,She's Gone,Hall & Oates,1976
82,Still the One,Orleans,1976
83,You're My Best Friend,Queen,1976
84,With Your Love,Jefferson Starship,1976
85,Slow Ride,Foghat,1976
86,Who'd She Coo?,Ohio Players,1976
87,The Boys Are Back in Town,Thin Lizzy,1976
88,Walk Away from Love,David Ruffin,1976
89,"Baby, I Love Your Way (Live)",Peter Frampton,1976
90,Young Hearts Run Free,Candi Staton,1976
91,Breaking Up Is Hard to Do,Neil Sedaka,1976
92,Money Honey,Bay City Rollers,1976
93,Give Up the Funk (Tear the Roof off the Sucker),Parliament,1976
94,Junk Food Junkie,Larry Groce,1976
95,Tryin' to Get the Feeling Again,Barry Manilow,1976
96,Rock and Roll All Nite,Kiss,1976
97,Disco Duck,Rick Dees & His Cast of Idiots,1976
98,Take the Money and Run,Steve Miller Band,1976
99,Squeeze Box,The Who,1976
100,Country Boy (You Got Your Feet in L.A.),Glen Campbell,1976
1,Tonight's the Night (Gonna Be Alright),Rod Stewart,1977
2,I Just Want to Be Your Everything,Andy Gibb,1977
3,Best of My Love,The Emotions,1977
4,Evergreen (Love Theme from A Star Is Born),Barbra Streisand,1977
5,Angel in Your Arms,Hot,1977
6,I Like Dreamin',Kenny Nolan,1977
7,Don't Leave Me This Way,Thelma Houston,1977
8,(Your Love Has Lifted Me) Higher and Higher,Rita Coolidge,1977
9,Undercover Angel,Alan O'Day,1977
10,Torn Between Two Lovers,Mary MacGregor,1977
11,I'm Your Boogie Man,KC and the Sunshine Band,1977
12,Dancing Queen,ABBA,1977
13,You Make Me Feel Like Dancing,Leo Sayer,1977
14,Margaritaville,Jimmy Buffett,1977
15,Telephone Line,Electric Light Orchestra,1977
16,Whatcha Gonna Do?,Pablo Cruise,1977
17,Do You Wanna Make Love,Peter McCann,1977
